delivery_id,date,product_id,qty,warehouse_id,store_id
DVWS_000001,01/01/2022,PRD_267,31,WRH_002,STR_001
DVWS_000001,01/01/2022,PRD_230,90,WRH_002,STR_001
DVWS_000001,01/01/2022,PRD_014,80,WRH_002,STR_001
DVWS_000001,01/01/2022,PRD_131,26,WRH_002,STR_001
DVWS_000002,01/01/2022,PRD_291,16,WRH_003,STR_001
DVWS_000002,01/01/2022,PRD_165,26,WRH_003,STR_001
DVWS_000003,01/01/2022,PRD_001,29,WRH_005,STR_001
DVWS_000003,01/01/2022,PRD_094,7,WRH_005,STR_001
DVWS_000004,01/01/2022,PRD_013,87,WRH_001,STR_001
DVWS_000004,01/01/2022,PRD_027,41,WRH_001,STR_001
DVWS_000004,01/01/2022,PRD_280,2,WRH_001,STR_001
DVWS_000004,01/01/2022,PRD_272,39,WRH_001,STR_001
DVWS_000004,01/01/2022,PRD_082,3,WRH_001,STR_001
DVWS_000005,01/01/2022,PRD_044,64,WRH_007,STR_001
DVWS_000005,01/01/2022,PRD_231,100,WRH_007,STR_001
DVWS_000006,01/01/2022,PRD_282,7,WRH_009,STR_001
DVWS_000006,01/01/2022,PRD_159,57,WRH_009,STR_001
DVWS_000006,01/01/2022,PRD_235,29,WRH_009,STR_001
DVWS_000006,01/01/2022,PRD_291,47,WRH_009,STR_001
DVWS_000006,01/01/2022,PRD_303,62,WRH_009,STR_001
DVWS_000007,01/01/2022,PRD_028,33,WRH_004,STR_002
DVWS_000008,01/01/2022,PRD_081,83,WRH_003,STR_002
DVWS_000008,01/01/2022,PRD_216,18,WRH_003,STR_002
DVWS_000008,01/01/2022,PRD_007,92,WRH_003,STR_002
DVWS_000008,01/01/2022,PRD_278,4,WRH_003,STR_002
DVWS_000009,01/01/2022,PRD_219,77,WRH_001,STR_002
DVWS_000009,01/01/2022,PRD_096,6,WRH_001,STR_002
DVWS_000009,01/01/2022,PRD_198,41,WRH_001,STR_002
DVWS_000009,01/01/2022,PRD_068,50,WRH_001,STR_002
DVWS_000010,01/01/2022,PRD_178,100,WRH_006,STR_002
DVWS_000010,01/01/2022,PRD_304,97,WRH_006,STR_002
DVWS_000010,01/01/2022,PRD_208,96,WRH_006,STR_002
DVWS_000010,01/01/2022,PRD_096,44,WRH_006,STR_002
DVWS_000010,01/01/2022,PRD_127,42,WRH_006,STR_002
DVWS_000011,01/01/2022,PRD_151,77,WRH_008,STR_003
DVWS_000012,01/01/2022,PRD_296,66,WRH_002,STR_003
DVWS_000012,01/01/2022,PRD_198,5,WRH_002,STR_003
DVWS_000012,01/01/2022,PRD_257,32,WRH_002,STR_003
DVWS_000012,01/01/2022,PRD_225,89,WRH_002,STR_003
DVWS_000012,01/01/2022,PRD_070,49,WRH_002,STR_003
DVWS_000013,01/01/2022,PRD_220,90,WRH_006,STR_003
DVWS_000013,01/01/2022,PRD_067,62,WRH_006,STR_003
DVWS_000013,01/01/2022,PRD_309,36,WRH_006,STR_003
DVWS_000013,01/01/2022,PRD_176,72,WRH_006,STR_003
DVWS_000013,01/01/2022,PRD_051,65,WRH_006,STR_003
DVWS_000014,01/01/2022,PRD_293,36,WRH_001,STR_003
DVWS_000014,01/01/2022,PRD_138,92,WRH_001,STR_003
DVWS_000015,01/01/2022,PRD_173,33,WRH_008,STR_004
DVWS_000016,01/01/2022,PRD_007,47,WRH_005,STR_004
DVWS_000016,01/01/2022,PRD_100,22,WRH_005,STR_004
DVWS_000016,01/01/2022,PRD_089,8,WRH_005,STR_004
DVWS_000016,01/01/2022,PRD_056,80,WRH_005,STR_004
DVWS_000017,01/01/2022,PRD_192,61,WRH_002,STR_004
DVWS_000017,01/01/2022,PRD_080,70,WRH_002,STR_004
DVWS_000017,01/01/2022,PRD_053,55,WRH_002,STR_004
DVWS_000017,01/01/2022,PRD_045,22,WRH_002,STR_004
DVWS_000017,01/01/2022,PRD_115,16,WRH_002,STR_004
DVWS_000018,01/01/2022,PRD_255,56,WRH_007,STR_004
DVWS_000018,01/01/2022,PRD_112,26,WRH_007,STR_004
DVWS_000018,01/01/2022,PRD_043,16,WRH_007,STR_004
DVWS_000019,01/01/2022,PRD_242,56,WRH_009,STR_004
DVWS_000019,01/01/2022,PRD_054,75,WRH_009,STR_004
