product_id,name,description,category_id,price,unit
PRD_001,Apple,"Red Delicious apples are a classic variety known for their distinctive bright red skin and sweet, crisp flesh. They are one of the most popular apple varieties worldwide and are favored for their appealing appearance and delightful flavor. These apples are typically medium to large in size and have a slightly elongated shape.",CAT_001,1.5,Pound
PRD_002,Bananas,"Cavendish bananas are one of the most popular and widely consumed fruits globally. Known for their distinctive bright yellow color and sweet, creamy flesh, these bananas are a beloved tropical fruit. They are characterized by their slightly curved shape and convenient peel-and-eat packaging.",CAT_001,0.75,Pound
PRD_003,Pineapple,"Pineapples are tropical fruits known for their sweet and tangy flavor, as well as their distinctive appearance. They are the fruit of the pineapple plant, which belongs to the Bromeliaceae family. Pineapples are prized for their delicious taste and versatility, making them a popular choice for both fresh consumption and culinary applications.",CAT_001,4,Pound
PRD_004,Grapes,"Red seedless grapes are a delicious and widely enjoyed fruit known for their sweet and juicy flavor. They belong to the Vitis vinifera family and are a popular choice for snacking, adding to fruit salads, and incorporating into various culinary dishes. These grapes are distinguished by their vibrant red or purple skin and absence of seeds.",CAT_001,4,Pound
PRD_005,Berries,"Mixed berries are a delightful assortment of small, colorful fruits, each bursting with a unique and vibrant flavor. They are nature's candy, cherished for their natural sweetness, juicy texture, and versatility. Mixed berries typically include a combination of strawberries, blueberries, raspberries, and blackberries, creating a medley of tastes and textures in every bite.",CAT_001,4,Pack
PRD_006,Citrus,"Citrus fruits are a diverse and flavorful group of fruits known for their bright colors, refreshing taste, and tangy zing. These fruits belong to the citrus genus and are celebrated for their juicy flesh, vibrant aroma, and high vitamin C content. Citrus fruits include a wide range of varieties, each with its unique characteristics and culinary uses, but they all share a common zest for brightening up our palates.",CAT_001,4.5,Bag
PRD_007,Pears,"Bartlett pears are a classic and beloved variety of pear, known for their sweet and succulent flesh, smooth texture, and distinctive pear shape. These pears are cherished for their juicy, refreshing flavor and versatile culinary uses. They are a member of the Pyrus genus and are available in various colors, with the most common being green when ripe.",CAT_001,2,Pcs
PRD_008,Kiwi,"Kiwi, a small yet powerful fruit bursting with vibrant color and a uniquely delicious taste. Our kiwis are carefully selected to ensure you experience the perfect blend of sweetness and tanginess with each bite",CAT_001,1,Pcs
PRD_009,Melon,"Melons, a delectable fruit that embodies the essence of freshness and sweetness. Handpicked at the peak of ripeness, our melons promise a mouthwatering experience with every bite.",CAT_001,4,Pcs
PRD_010,Watermelon,"Watermelon, scientifically known as Citrullus lanatus, is a quintessential summer fruit that's celebrated for its sweet, juicy, and refreshing qualities. Here's a detailed description of this beloved fruit",CAT_001,8,Pcs
PRD_011,Carrots,"Carrots, a versatile and nutritious vegetable that adds a burst of color and flavor to your culinary creations. Our carrots are carefully selected to ensure you experience the pure essence of freshness and crunchiness",CAT_001,1.5,Pound
PRD_012,Spinach,"Spinach, a versatile and nutritious leafy green that elevates your meals with its vibrant color and health benefits. Our spinach is carefully selected to ensure you experience the essence of freshness and wholesome goodness.",CAT_001,3,Bag
PRD_013,Cabbage,"Cabbage, a versatile and nutritious vegetable that enhances your culinary creations with its crunchy texture and health benefits. Our cabbage is carefully selected to ensure you experience the essence of freshness and wholesome goodness",CAT_001,1,Pcs
PRD_014,Broccoli,"Broccoli, a versatile and highly nutritious vegetable that adds a burst of vibrant green color, crispness, and health benefits to your meals. Our broccoli is carefully selected to ensure you experience the essence of freshness and wholesome goodness",CAT_001,3,Pound
PRD_015,Cauliflower,"Cauliflower, a versatile and nutritious vegetable that adds a touch of crispness, mild flavor, and health benefits to your culinary creations. Our cauliflower is carefully selected to ensure you experience the essence of freshness and wholesome goodness",CAT_001,3,Pcs
PRD_016,Parsley,"Parsley, a versatile and aromatic herb that adds a burst of freshness, color, and flavor to your culinary creations. Our parsley is carefully selected to ensure you experience the essence of freshness and vibrant green goodness",CAT_001,2,Bunch
PRD_017,Basil,"Basil, an aromatic herb that infuses your culinary creations with a burst of vibrant flavor and delightful fragrance. Our basil is carefully selected to ensure you experience the essence of freshness and culinary excellence",CAT_001,3,Bunch
PRD_018,Mint,"Mint, a fragrant herb that invigorates your senses with its cooling aroma and distinctive flavor. Our mint is carefully selected to ensure you experience the essence of freshness and culinary delight",CAT_001,3,Bunch
PRD_019,Rosemary,"Rosemary, an aromatic herb that adds a touch of sophistication, a burst of fragrance, and a depth of flavor to your culinary creations. Our rosemary is carefully selected to ensure you experience the essence of freshness and culinary excellence",CAT_001,3,Bunch
PRD_020,Oregano,"Oregano, an aromatic herb that enhances your culinary creations with a burst of flavor and a touch of Mediterranean flair. Our oregano is carefully selected to ensure you experience the essence of freshness and culinary excellence",CAT_001,4,Bunch
PRD_021,Saffron,"Saffron threads, a highly prized spice known for its vibrant color, distinct flavor, and culinary excellence. Our saffron is carefully selected to ensure you experience the essence of luxury and culinary perfection",CAT_001,10,gram
PRD_022,Tenderloin,"Tenderloin steak, a culinary masterpiece known for its exceptional tenderness, buttery texture, and exquisite flavor. Our tenderloin is carefully selected to ensure you experience the epitome of quality and dining indulgence",CAT_002,30,Pound
PRD_023,Rib Eye,"Ribeye steak, a culinary masterpiece renowned for its exceptional marbling, robust flavor, and succulent tenderness. Our ribeye is carefully selected to ensure you experience the pinnacle of quality and dining indulgence",CAT_002,25,Pound
